Confusion Matrix and Statistics

             Reference
Prediction    amyloid non-amyloid
  amyloid          65          14
  non-amyloid      37         166
                                          
               Accuracy : 0.8191          
                 95% CI : (0.7692, 0.8623)
    No Information Rate : 0.6383          
    P-Value [Acc > NIR] : 2.114e-11       
                                          
                  Kappa : 0.5882          
                                          
 Mcnemar's Test P-Value : 0.002066        
                                          
            Sensitivity : 0.6373          
            Specificity : 0.9222          
         Pos Pred Value : 0.8228          
         Neg Pred Value : 0.8177          
             Prevalence : 0.3617          
         Detection Rate : 0.2305          
   Detection Prevalence : 0.2801          
      Balanced Accuracy : 0.7797          
                                          
       'Positive' Class : amyloid         
                                          

Recursive feature selection

Outer resampling method: Cross-Validated (10 fold) 

Resampling performance over subset size:

 Variables Accuracy  Kappa AccuracySD KappaSD Selected
         1   0.7184 0.3844    0.03283 0.07349         
         2   0.7635 0.4857    0.03596 0.06610         
         3   0.7953 0.5547    0.03840 0.08043         
         4   0.8067 0.5793    0.03495 0.08033         
         5   0.8014 0.5676    0.03734 0.08264         
         6   0.8076 0.5799    0.03985 0.09362         
         7   0.8111 0.5869    0.03677 0.08627         
         8   0.8120 0.5889    0.03550 0.08306         
         9   0.8129 0.5913    0.02905 0.07056         
        10   0.8164 0.6007    0.03088 0.07033         
        11   0.8111 0.5881    0.03761 0.08519         
        12   0.8156 0.5989    0.03018 0.07070         
        13   0.8138 0.5950    0.03409 0.07873         
        14   0.8155 0.5987    0.02748 0.06232         
        15   0.8137 0.5949    0.03062 0.06810         
        16   0.8191 0.6075    0.02777 0.06281         
        17   0.8190 0.6062    0.02960 0.06706         
        18   0.8199 0.6086    0.02471 0.05512         
        19   0.8173 0.6029    0.02579 0.06135         
        20   0.8191 0.6065    0.02582 0.06089         
        21   0.8164 0.6006    0.02687 0.06179         
        22   0.8182 0.6047    0.02932 0.06577         
        23   0.8217 0.6121    0.03078 0.06948         
        24   0.8190 0.6051    0.02622 0.06000         
        25   0.8181 0.6025    0.02565 0.05860         
        26   0.8182 0.6029    0.02967 0.06683         
        27   0.8164 0.5990    0.03009 0.06850         
        28   0.8172 0.6022    0.03159 0.07121         
        29   0.8173 0.6011    0.02905 0.06592         
        30   0.8172 0.6008    0.03362 0.07474         
        31   0.8155 0.5976    0.03231 0.07326         
        32   0.8217 0.6116    0.03105 0.07118         
        33   0.8164 0.6007    0.03170 0.07079         
        34   0.8199 0.6071    0.03563 0.07944         
        35   0.8181 0.6039    0.03286 0.07428         
        36   0.8181 0.6043    0.03089 0.07073         
        37   0.8146 0.5955    0.03480 0.07804         
        38   0.8137 0.5935    0.03468 0.07923         
        39   0.8128 0.5923    0.03170 0.07223         
        40   0.8128 0.5919    0.03812 0.08385         
        41   0.8137 0.5944    0.03024 0.06941         
        42   0.8137 0.5943    0.03377 0.07732         
        43   0.8146 0.5950    0.03511 0.07874         
        44   0.8128 0.5917    0.04186 0.09269         
        45   0.8129 0.5897    0.02868 0.06784         
        46   0.8208 0.6085    0.03749 0.08353         
        47   0.8146 0.5950    0.03824 0.08408         
        48   0.8119 0.5889    0.03395 0.07696         
        49   0.8146 0.5947    0.03410 0.07607         
        50   0.8120 0.5890    0.03058 0.07040         
        51   0.8190 0.6040    0.03541 0.07972         
        52   0.8128 0.5914    0.03223 0.07213         
        53   0.8155 0.5962    0.03545 0.08101         
        54   0.8155 0.5964    0.03690 0.08252         
        55   0.8190 0.6048    0.03339 0.07536         
        56   0.8190 0.6041    0.03536 0.07973         
        57   0.8181 0.6025    0.03511 0.07810         
        58   0.8173 0.6004    0.03835 0.08591         
        59   0.8182 0.6034    0.03327 0.07420         
        60   0.8172 0.6010    0.03413 0.07713         
        61   0.8138 0.5917    0.03596 0.08158         
        62   0.8217 0.6106    0.03737 0.08312         
        63   0.8137 0.5923    0.03977 0.09045         
        64   0.8190 0.6045    0.03359 0.07632         
        65   0.8191 0.6045    0.03825 0.08657         
        66   0.8199 0.6063    0.03265 0.07471         
        67   0.8190 0.6048    0.03193 0.07399         
        68   0.8129 0.5919    0.03691 0.08359         
        69   0.8164 0.5990    0.03473 0.07809         
        70   0.8173 0.6008    0.03732 0.08384         
        71   0.8164 0.5975    0.03637 0.08276         
        72   0.8155 0.5970    0.03679 0.08390         
        73   0.8217 0.6113    0.02963 0.06708         
        74   0.8164 0.5980    0.03422 0.07810         
        75   0.8172 0.6001    0.03748 0.08461         
        76   0.8199 0.6071    0.03433 0.07701         
        77   0.8173 0.6024    0.03071 0.06905         
        78   0.8181 0.6035    0.03680 0.08084         
        79   0.8146 0.5955    0.04079 0.09124         
        80   0.8190 0.6039    0.04041 0.09134         
